INQ_YMD,PDLT_CODE,PDLT_NM,NMYR_RATE,BFRT_RATE,SPCS_CODE,WHSL_DAIL_PRCE,RTSL_DAIL_PRCE
일자,품목코드,품목명,평년 비율,전일 비율,품종코드,도매일일가격,소매일일가격
19960128,1001,배추,0,0,1001,0,1521
19960128,1101,무,0,0,1101,0,1013
19960128,1207,건고추,0,0,1207,5328.57,6267
19960128,1209,마늘,0,0,12A9,0,2908
19960128,1209,마늘,0,0,1209,1117.9,0
19960128,1201,양파,0,-3.75,1201,400,625
19960127,1001,배추,0,0,1001,0,1521
19960127,1101,무,0,0,1101,0,1013
19960127,1207,건고추,0,0,1207,5328.57,6267
19960127,1209,마늘,0,0,12A9,0,2908
19960127,1209,마늘,0,0,1209,1117.9,0
19960127,1201,양파,0,-3.75,1201,400,625
19960127,1202,대파,0,-4.348,1202,575,1188
19960128,1202,대파,0,-4.348,1202,575,1188
19960129,1001,배추,0,0,1001,0,1483
19960129,1101,무,0,0,1101,0,1004
19960129,1207,건고추,0,0,1207,5328.57,6267
19960129,1209,마늘,0,0,12A9,0,2908
19960129,1209,마늘,0,0,1209,1117.9,0
19960129,1201,양파,0,0,1201,400,633
19960129,1202,대파,0,0,1202,575,1188
19960130,1001,배추,0,0,1001,0,1479
19960130,1101,무,0,0,1101,0,1004
19960130,1207,건고추,0,0.666,1207,5364.29,6283
19960130,1209,마늘,0,0,12A9,0,2871
19960130,1209,마늘,0,0,1209,1117.9,0
19960130,1201,양파,0,3.614,1201,415,633
19960130,1202,대파,0,0,1202,575,1179
19960131,1001,배추,0,0,1001,0,1488
19960131,1101,무,0,0,1101,0,996
19960131,1207,건고추,0,0,1207,5364.29,6283
19960131,1209,마늘,0,0,12A9,0,2871
19960131,1209,마늘,0,0,1209,1117.9,0
19960131,1201,양파,0,0,1201,415,633
19960131,1202,대파,0,8,1202,625,1204
19960201,1001,배추,0,0,1001,0,1508
19960201,1101,무,0,0,1101,0,967
19960201,1207,건고추,0,0.133,1207,5371.43,6283
19960201,1209,마늘,0,0,12A9,0,2871
19960201,1209,마늘,0,0,1209,1117.9,0
19960201,1201,양파,0,1.19,1201,420,635
19960201,1202,대파,0,0,1202,625,1208
19960202,1001,배추,0,0,1001,0,1513
19960202,1101,무,0,0,1101,0,983
19960103,1001,배추,0,0,1001,0,1570
19960103,1101,무,0,0,1101,0,956
19960105,1001,배추,0,0,1001,0,1450
19960105,1101,무,0,0,1101,0,933
19960103,1201,양파,0,0,1201,360,532
19960103,1202,대파,0,0,1202,625,1133
19960104,1001,배추,0,0,1001,0,1467
19960104,1101,무,0,0,1101,0,940
19960104,1207,건고추,0,0,1207,5208.33,6144
19960104,1209,마늘,0,0,12A9,0,2983
19960104,1209,마늘,0,0,1209,1168.2,0
19960104,1201,양파,0,-5.882,1201,340,528
19960104,1202,대파,0,0,1202,625,1096
19960105,1207,건고추,0,-0.436,1207,5185.71,6167
19960105,1209,마늘,0,0,12A9,0,2946
19960105,1209,마늘,0,-1.902,1209,1146.4,0
19960105,1201,양파,0,15,1201,400,528
19960105,1202,대파,0,-13.636,1202,550,1096
19960106,1001,배추,0,0,1001,0,1450
19960106,1101,무,0,0,1101,0,933
19960106,1207,건고추,0,0,1207,5185.71,6167
19960106,1209,마늘,0,0,12A9,0,2946
19960106,1209,마늘,0,-0.623,1209,1139.3,0
19960106,1201,양파,0,0,1201,400,528
19960106,1202,대파,0,0,1202,550,1096
19960107,1001,배추,0,0,1001,0,1450
19960107,1101,무,0,0,1101,0,933
19960107,1207,건고추,0,0,1207,5185.71,6167
19960107,1209,마늘,0,0,12A9,0,2946
19960107,1209,마늘,0,-0.623,1209,1139.3,0
19960107,1201,양파,0,0,1201,400,528
19960107,1202,대파,0,0,1202,550,1096
19960108,1001,배추,0,0,1001,0,1454
19960108,1101,무,0,0,1101,0,938
19960108,1207,건고추,0,0,1207,5185.71,6167
19960108,1209,마늘,0,0,12A9,0,2946
19960108,1209,마늘,0,-0.623,1209,1139.3,0
19960108,1201,양파,0,2.439,1201,410,531
19960108,1202,대파,0,-10,1202,500,1142
