"시도별",2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
"시도별",엽채류:면적 (ha),생산량 (톤),배추:면적 (ha),생산량 (톤),노지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지겨울배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),시금치:면적 (ha),생산량 (톤),노지시금치:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설시금치:면적 (ha),10a당 생산량 (kg),생산량 (톤),상추:면적 (ha),생산량 (톤),노지상추:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설상추:면적 (ha),10a당 생산량 (kg),생산량 (톤),양배추:면적 (ha),10a당 생산량 (kg),생산량 (톤)
"계",47906,2930379,31143,2391946,29437,7882,2320206,11390,4895,557555,5662,4930,279172,5727,4861,278383,13313,10547,1404150,4735,7572,358501,1705,4207,71740,5084,73239,2777,1094,30371,2307,1859,42868,3773,93543,732,1981,14513,3041,2599,79030,7906,4701,371651
"서울특별시",14,731,6,544,5,9788,510,0,4132,1,0,4584,1,0,0,0,5,9814,509,0,0,0,1,4313,34,2,54,0,2235,10,1,3000,44,6,125,1,2800,28,5,1941,97,0,4570,8
"부산광역시",310,12111,71,7535,69,10816,7424,9,6010,565,9,6013,565,0,0,0,59,11580,6859,0,0,0,2,5345,111,37,648,15,1554,238,21,1927,410,169,2933,28,1564,438,140,1782,2495,34,2901,995
"대구광역시",556,20763,239,10686,72,8737,6258,6,4458,283,6,4453,283,0,0,0,65,9153,5975,0,0,0,167,2644,4428,93,2014,28,1536,429,65,2437,1585,61,1403,31,2244,696,30,2355,707,163,4086,6660
"인천광역시",182,16269,131,15080,131,11541,15068,4,3199,133,4,3200,133,0,0,0,126,11815,14935,0,0,0,0,5250,12,17,289,9,778,67,8,2686,222,30,700,16,1722,276,14,3032,424,4,4570,200
"광주광역시",114,7705,91,7233,60,9906,5968,10,4262,423,10,4267,423,0,0,0,50,11019,5545,0,0,0,30,4182,1265,19,371,3,962,25,17,2094,346,4,96,2,2097,42,2,2695,54,0,5767,5
"대전광역시",95,7217,56,6361,54,11628,6324,0,1810,8,0,1839,8,0,0,0,54,11708,6316,0,0,0,1,3050,37,0,0,0,0,0,0,0,0,39,856,11,952,105,28,2682,751,0,0,0
"울산광역시",152,12160,111,11511,110,10452,11472,10,5001,478,10,5000,478,0,0,0,100,10973,10994,0,0,0,1,3906,39,20,242,10,1013,103,9,1474,139,19,304,17,1612,274,2,1521,30,2,4243,103
"세종특별자치시",79,4382,61,4067,39,10225,3942,4,3473,130,4,3465,130,0,0,0,35,10951,3812,0,0,0,22,567,125,12,190,3,1167,31,9,1779,159,7,121,0,1170,0,6,2022,121,0,1695,4
"경기도",4064,222033,2036,175931,1446,10405,150500,164,4584,7510,164,4584,7510,0,0,0,1283,11149,142990,0,0,0,590,4313,25431,1284,24721,82,2025,1669,1202,1918,23052,675,18245,133,1932,2570,542,2892,15675,69,4570,3136
"강원도",8312,443540,6945,387699,6906,5598,386647,5632,4896,275768,646,4805,31063,4986,4908,244705,1274,8703,110879,0,0,0,38,2748,1052,48,788,9,1516,133,39,1675,655,118,2159,97,1714,1663,21,2364,496,1201,4405,52894
"충청북도",3348,239103,2685,216651,2631,8170,214955,711,4850,34482,711,4850,34482,0,0,0,1920,9399,180473,0,0,0,54,3150,1696,269,5557,4,1385,57,265,2078,5500,212,7900,18,1869,336,193,3919,7564,182,4930,8995
"충청남도",3366,189144,1740,158854,1391,10115,140712,197,6246,12283,197,6246,12283,0,0,0,1194,10752,128429,0,0,0,349,5200,18142,300,5220,40,1455,578,260,1787,4642,910,18009,71,2073,1472,839,1971,16537,417,1695,7061
"전라북도",3404,229986,2209,193611,2080,8968,186563,647,4124,26677,582,4369,25411,65,1942,1266,1433,11154,159886,0,0,0,129,5468,7048,124,1331,74,1227,904,50,850,427,897,26354,77,2704,2082,820,2960,24272,174,4993,8690
"전라남도",12226,932531,9558,807579,9412,8523,802217,1485,4446,66022,1485,4446,66022,0,0,0,3244,11763,381523,4684,7572,354672,146,3680,5362,569,7455,476,1259,5991,93,1579,1464,99,2145,38,2146,815,61,2181,1330,2000,5767,115352
"경상북도",5431,330032,4100,298532,3982,7395,294479,2113,5345,112953,1437,5605,80541,676,4792,32412,1869,9713,181526,0,0,0,117,3454,4053,664,10469,448,1590,7127,216,1550,3342,274,5850,127,1805,2292,148,2404,3558,394,3855,15181
"경상남도",2732,95411,843,72565,794,8813,69960,248,5214,12939,248,5214,12939,0,0,0,546,10450,57021,0,0,0,49,5345,2605,1568,13164,1516,810,12282,52,1707,882,230,5768,56,2331,1305,174,2565,4463,92,4243,3914
"제주도",3520,167264,264,17508,255,6755,17208,149,4628,6900,149,4628,6900,0,0,0,55,11763,6479,51,7572,3829,9,3395,300,61,728,61,1201,728,0,0,0,23,575,8,1493,119,15,3041,456,3173,4679,148453
