시도별,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016
시도별,조미채소:면적 (ha),생산량 (톤),고추:면적 (ha),생산량 (톤),건고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),풋고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),파:면적 (ha),생산량 (톤),노지파:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설파:면적 (ha),10a당 생산량 (kg),생산량 (톤),대파:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지대파:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설대파:면적 (ha),10a당 생산량 (kg),생산량 (톤),쪽파:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지쪽파:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설쪽파:면적 (ha),10a당 생산량 (kg),생산량 (톤),양파:면적 (ha),10a당 생산량 (kg),생산량 (톤),생강:면적 (ha),10a당 생산량 (kg),생산량 (톤),마늘:면적 (ha),10a당 생산량 (kg),생산량 (톤)
계,96586,2297762,36636,254658,32181,266,85459,4455,3798,169199,15204,409859,13028,2714,353620,2176,2585,56239,10396,3001,312009,8646,3062,264711,1750,2703,47298,4808,2035,97850,4382,2029,88909,426,2099,8941,19896,6528,1298749,4091,1441,58947,20759,1327,275549
서울특별시,35,602,8,18,8,223,18,0,0,0,26,575,23,2000,460,3,3833,115,26,2212,575,23,2000,460,3,3846,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,943,9
부산광역시,664,16657,59,516,50,270,135,9,4233,381,562,14247,464,2603,12077,98,2214,2170,498,2581,12851,402,2670,10733,96,2206,2118,64,2181,1396,62,2167,1344,2,2585,52,21,7445,1564,0,0,0,22,1502,331
대구광역시,982,27886,118,258,118,219,258,0,0,0,241,5826,232,2400,5567,9,2878,259,236,2436,5748,227,2418,5489,9,2873,259,5,1560,78,5,1569,78,0,0,0,217,7108,15425,1,1464,15,405,1571,6361
인천광역시,631,6584,393,885,393,225,885,0,0,0,128,2771,93,1941,1805,35,2760,966,108,2184,2359,74,1902,1407,34,2800,952,20,2060,412,19,2096,398,1,1389,14,35,6046,2116,0,0,0,75,1082,811
광주광역시,422,9463,337,6464,126,217,273,211,2934,6191,6,129,2,2850,57,4,1800,72,2,2850,57,2,2835,57,0,0,0,4,1800,72,0,0,0,4,1796,72,43,5700,2451,0,0,0,36,1163,419
대전광역시,161,1492,90,298,85,220,187,5,2220,111,45,814,42,1752,736,3,2600,78,36,1819,655,34,1770,602,2,2631,53,9,1767,159,8,1681,134,1,2528,25,2,6270,125,2,1578,32,22,1011,222
울산광역시,247,2897,153,530,149,294,438,4,2304,92,30,550,26,1746,454,4,2400,96,19,1547,294,17,1473,250,2,2178,44,11,2327,256,9,2264,204,2,2585,52,19,7445,1415,0,0,0,45,894,402
세종특별자치시,349,5048,182,452,182,248,452,0,0,0,140,4134,20,1850,370,120,3137,3764,133,3020,4016,13,1936,252,120,3137,3764,7,1686,118,7,1682,118,0,0,0,3,6270,188,1,1578,16,23,1123,258
경기도,6612,98325,3065,13282,2809,223,6255,256,2745,7027,2540,63861,1714,2557,43831,826,2425,20030,2127,2616,55643,1363,2676,36474,764,2509,19169,413,1990,8218,351,2096,7357,62,1389,861,217,6046,13120,137,1385,1897,653,944,6165
강원도,3980,56455,3092,39967,2076,224,4651,1016,3476,35316,681,14003,655,2058,13480,26,2012,523,634,2076,13162,617,2076,12809,17,2076,353,47,1789,841,38,1766,671,9,1893,170,16,6224,996,11,333,37,180,807,1452
충청북도,4496,36569,3109,9826,3022,264,7971,87,2132,1855,652,16721,555,2416,13410,97,3413,3311,531,2539,13483,446,2317,10334,85,3705,3149,121,2676,3238,109,2822,3076,12,1350,162,65,5437,3534,99,1616,1600,571,856,4888
충청남도,9333,139609,3577,18430,3304,301,9940,273,3110,8490,1898,41447,1613,2117,34155,285,2559,7292,577,2672,15417,492,2679,13181,85,2631,2236,1321,1970,26030,1121,1871,20974,200,2528,5056,453,6270,28405,1266,1578,19977,2139,1466,31350
전라북도,8630,139127,5003,17304,4909,284,13922,94,3598,3382,1213,44393,960,3915,37581,253,2692,6812,976,4075,39772,811,4259,34540,165,3171,5232,237,1950,4621,149,2041,3041,88,1796,1580,912,6508,59351,640,1192,7629,862,1212,10450
전라남도,25196,807275,5924,32945,5367,264,14174,557,3370,18771,4405,142148,4361,3237,141151,44,2266,997,3189,3564,113661,3174,3566,113185,15,3171,476,1216,2343,28487,1187,2356,27966,29,1796,521,9521,5981,569472,247,1384,3418,5099,1163,59291
경상북도,16098,273475,7642,26837,7426,271,20111,216,3114,6726,985,22500,881,2217,19534,104,2852,2966,596,2616,15590,501,2567,12861,95,2873,2729,389,1776,6910,380,1756,6673,9,2631,237,2057,7117,146390,1564,1464,22897,3850,1425,54851
경상남도,13990,525982,3829,86267,2110,269,5680,1719,4688,80587,638,15349,379,2289,8674,259,2577,6675,561,2452,13757,303,2346,7108,258,2577,6649,77,2068,1592,76,2060,1566,1,2585,26,4749,7434,353063,123,1162,1429,4651,1502,69874
제주도,4760,150317,55,379,47,232,109,8,3370,270,1014,20391,1008,2012,20278,6,1883,113,147,3380,4969,147,3380,4969,0,0,0,867,1779,15422,861,1778,15309,6,1883,113,1566,6458,101134,0,0,0,2125,1337,28413
